hour,T_out_C,T_air_C,T_mass_C,solar_gain_W,conduction_loss_W,ventilation_loss_W,net_heat_flow_W,storage_rate_W,comfort_status
22.5,-4.555849108714195,-1.824434988500501,-1.8683129456472305,101.00012425748652,127.3960667926457,34.76980918467225,-62.165875977317945,38.83424828016739,uncomfortable
23.0,-5.670628594077314,-1.8693689625073724,-1.870999987252549,114.3679296494211,179.2791536055945,48.38851460603274,-127.66766821162724,-13.299738562206693,uncomfortable
23.5,-6.825264270019536,-1.9277957724915047,-1.8860875398880288,128.2136679476576,232.44246589676249,62.34281498613283,-194.7852808828953,-66.5716129352395,uncomfortable
24.0,-8.000000000000002,-1.999017733758701,-1.9136313786376662,142.30043473114927,285.96171864912264,76.39010385634526,-262.3518225054679,-120.05138777432047,uncomfortable
24.5,-9.174735729980464,-2.0821141432398256,-1.9534698969641815,156.38720151464088,338.9067349376097,90.28623575057362,-329.1929706881833,-172.8057691735442,uncomfortable
25.0,-10.329371405922686,-2.1759570883583166,-2.0052269294090084,170.23293981287736,390.35735882844887,103.78970289686741,-394.1470617253163,-223.9141219124421,uncomfortable
25.5,-11.444150891285808,-2.2792308005598465,-2.0683182446753507,183.60074520481203,439.41919685291373,116.66576678690522,-456.08496363981897,-272.4842184350079,uncomfortable
26.0,-12.500000000000004,-2.390454222370027,-2.1419615980064197,196.26189083393302,485.23891871404214,128.69047393091856,-513.9293926449607,-317.66750181103026,uncomfortable
26.5,-13.478852861078488,-2.5080064018615547,-2.2251901708702744,207.9997409881932,527.01885542649,139.65448708724787,-566.6733425137378,-358.67360152554494,uncomfortable
27.0,-14.36396103067893,-2.630154280034322,-2.316869168004819,218.61345779710638,564.0306451108227,149.36666641300562,-613.3973115238283,-394.7838537267247,uncomfortable
27.5,-15.140180062621116,-2.7550823956684414,-2.4157152878530335,227.9214376233939,595.627692958449,157.6573392612408,-653.2850322196898,-425.3635945962964,uncomfortable
28.0,-15.794228634059948,-2.8809239994015563,-2.520318733253904,235.76441835156834,621.2562321732739,164.3812026773475,-685.6374348506214,-449.87301649905413,uncomfortable
28.5,-16.31491579260158,-3.0057930446694128,-2.6291673857898763,242.0082044068855,640.4647966338357,169.41980893207736,-709.884605565913,-467.8764011590298,uncomfortable
29.0,-16.693332436601615,-3.1278165081451985,-2.7406727301707816,246.54596287883453,652.9119431955951,172.68359156287883,-725.595534758474,-479.04957187964175,uncomfortable
29.5,-16.923003752364295,-3.245166486675207,-2.8531970850904287,249.3000514618559,658.3720915021966,174.11339725731585,-732.4854887595125,-483.1854372976575,uncomfortable
30.0,-17.0,-3.356091521532452,-2.9650816746378257,250.22334693671672,656.7393813844701,173.68149736750053,-730.4208787519706,-480.1975318152559,uncomfortable
30.5,-16.923003752364295,-3.4476566116759386,-3.065657749874214,288.70016935381614,648.486234420129,171.53577896210652,-716.784482876194,-431.32184402842086,uncomfortable
31.0,-16.693332436601615,-3.523661159710782,-3.1579415420227064,305.74100838492177,633.5217059179581,167.64464748630957,-693.283163301156,-395.4253450193464,uncomfortable
31.5,-16.31491579260158,-3.5826803620319394,-3.2390768505892793,326.8933277187644,612.1462008395584,162.07626413697932,-661.1156110683207,-347.3291372577757,uncomfortable
32.0,-15.794228634059948,-3.6230964223876803,-3.30673141945311,350.44685453122554,584.7653619798855,154.93364460170332,-621.1437097761279,-289.2521520503657,uncomfortable
32.5,-15.140180062621116,-3.6439514095784964,-3.359311625205151,373.84680792667655,551.8659149305893,146.34239226177135,-574.2427149329235,-224.36149926568729,uncomfortable
33.0,-14.36396103067893,-3.642331642100659,-3.392975226209696,407.6085650288029,514.1442826190108,136.48205346484596,-521.5099544732187,-143.01777105505604,uncomfortable
33.5,-13.478852861078487,-3.6203997291065324,-3.4095545122851183,428.07769541319794,472.13604592669367,125.4941649887502,-463.8148870715007,-69.55251550224857,uncomfortable
34.0,-12.5,-3.5838107356554887,-3.4143671465314176,420.87352342575053,426.30015450770225,113.4995228593999,-401.9033850976131,-18.926153941352993,uncomfortable
34.5,-11.444150891285808,-3.5278643547006676,-3.401041491361435,437.45452056608514,377.7043073514727,100.77116109611421,-337.2555764376706,58.97905211849583,uncomfortable
35.0,-10.329371405922686,-3.4537165038989177,-3.3703057598911976,448.4255865256155,327.16055256001135,87.52433664080178,-271.00979890927664,133.7406973248021,uncomfortable
35.5,-9.174735729980465,-3.368536852578372,-3.3291458425745994,427.656646868699,275.23665048493467,73.9105892297777,-203.96621922265876,178.50940715398556,uncomfortable
36.0,-8.0,-2.7937294159554282,-3.1937656708951683,797.994093066804,232.26200059256593,66.27374202665379,266.06418411911113,599.4583504475831,uncomfortable
36.5,-6.825264270019535,-3.068405128829967,-3.1345125424229,363.2239153358189,175.03171766422514,47.823314123686735,-77.67401129585829,240.3688835479038,uncomfortable
37.0,-5.670628594077314,-2.9831022395310556,-3.0678392098587093,345.1305751793179,123.96135602173044,34.211135482832056,-14.497401213026002,286.9580836747535,uncomfortable
37.5,-4.5558491087141935,-2.873749654000432,-2.9948818065000515,311.39889322138765,75.31275093720707,21.4124532187243,44.494687853984985,314.67368906545266,uncomfortable
38.0,-3.5000000000000018,-2.75863996102575,-2.9137977633996925,288.68853200473234,29.795048119415192,9.437216752126634,98.66402739794725,349.4562671331876,uncomfortable
38.5,-2.5211471389215134,-2.644207770227641,-2.8299171859311127,247.7418197075173,-12.006142415063232,-1.5665126122744812,147.38797887128084,361.314474734854,uncomfortable
39.0,-1.6360389693210715,-2.5321024591061096,-2.7441248769032054,208.58342615497793,-49.3529581252822,-11.406529799567622,189.87586953548788,369.3429140798257,uncomfortable
39.5,-0.8598199373788846,-2.4225723057120727,-2.65615627249055,177.06676294322529,-81.52551353060846,-19.89321254793415,225.38431833797983,378.4854890217634,uncomfortable
40.0,-0.20577136594005196,-2.3183941598729163,-2.568730122136285,141.03691984205557,-108.02629487499343,-26.892843117647793,253.47443479810215,375.9560578346954,uncomfortable
40.5,0.31491579260158,-2.219706402962034,-2.48160706115139,113.8522641716277,-128.32125823530535,-32.264726700646584,273.69283884416893,374.4382491075781,uncomfortable
41.0,0.6933324366016134,-2.127924442336949,-2.396261353506457,88.62267095663009,-142.05883557501767,-35.91347156613633,285.8554972442656,366.5949780977835,uncomfortable
41.5,0.9230037523642931,-2.043270637493758,-2.3129633550231627,70.88813525069625,-148.9456547557004,-37.75948647313705,289.9426717348789,357.59327647953364,uncomfortable
42.0,1.0,-1.9655448809294382,-2.2322030481509136,59.957173447537464,-148.8099209454499,-37.75020011627938,286.56012106172926,346.5172945092666,uncomfortable
42.5,0.9230037523642931,-1.8977729014538116,-2.159226995960211,35.30081800044254,-141.80637654350562,-35.90735849244295,277.71373503594856,313.0145530363912,uncomfortable
43.0,0.6933324366016151,-1.8392393419015756,-2.089660822402433,38.054906583463946,-127.84125845706802,-32.23862571163422,260.0798841687022,298.13479075216554,uncomfortable
43.5,0.31491579260158,-1.7911730226427298,-2.0250649068864255,42.59266505541298,-107.16900431588249,-26.809668182533972,233.97867249841647,276.5713375538279,uncomfortable
44.0,-0.20577136594005196,-1.7547391595438098,-1.9669084527527732,48.83645111073019,-80.16020050291849,-19.7177404254584,199.8779409283769,248.71439203910458,uncomfortable
44.5,-0.8598199373788837,-1.730906061365407,-1.9165454898186762,56.67943183890461,-47.29371616792032,-11.088577923898848,158.38229409181915,215.06172593072264,uncomfortable
45.0,-1.6360389693210688,-1.7204221500176506,-1.8751918345606504,65.98741166519206,-9.148425503422864,-1.0741641369952077,110.22258964041806,176.21000130560867,uncomfortable
45.5,-2.5211471389215117,-1.7238028484611285,-1.843904356480142,76.6011284741053,33.60669886362378,10.149873879844494,56.24342725653173,132.84455573063636,uncomfortable
46.0,-3.4999999999999973,-1.741321803037913,-1.8235629599057286,88.33897862836548,80.22402943399382,22.38726997604855,-2.6112994100423705,85.7276792183213,uncomfortable
46.5,-4.555849108714195,-1.773006261724327,-1.8148555926508525,101.00012425748652,129.89007297786372,35.424476305042226,-65.31454928290594,35.68557497457897,uncomfortable
47.0,-5.670628594077314,-1.8186366686298607,-1.8182665382226078,114.3679296494211,181.7393866825571,49.03431641417591,-130.77370309673302,-16.405773447313194,uncomfortable
47.5,-6.825264270019536,-1.8777504806203742,-1.8340681919270132,128.2136679476576,234.86938321110415,62.97987153353558,-197.84925474463972,-69.63558679698254,uncomfortable
48.0,-8.000000000000002,-1.9496501407120794,-1.8623164615960597,142.30043473114927,288.3557713532359,77.01853356879154,-265.3743049220275,-123.07387019087892,uncomfortable
48.5,-9.174735729980464,-2.033415071816829,-1.9028498716428273,156.38720151464088,341.2683680745124,90.9061554501598,-332.1745235246722,-175.7873220100329,uncomfortable
49.0,-10.329371405922686,-2.127917485633055,-1.9552923857858167,170.23293981287736,392.68701141451527,104.40122782371888,-397.08823923823417,-226.85529942535823,uncomfortable
49.5,-11.444150891285808,-2.2318417361985254,-2.019059900156022,183.60074520481203,441.71730195948584,117.26901062059909,-458.9863125800849,-275.38556737527466,uncomfortable
50.0,-12.500000000000004,-2.3437068869708417,-2.093370295698853,196.26189083393302,487.5059035479354,129.28554881161602,-516.7914523595514,-320.5295615256213,uncomfortable
50.5,-13.478852861078488,-2.4618921053170646,-2.177256877882346,207.9997409881932,529.2551414094091,140.24150363654064,-569.4966450459498,-361.4969040577588,uncomfortable
51.0,-14.36396103067893,-2.5846644499159983,-2.269584973765208,218.61345779710638,566.236647957702,149.94573375447982,-616.1823817121817,-397.5689239150774,uncomfortable
51.5,-15.140180062621116,-2.710208575633098,-2.3690714024547925,227.9214376233939,597.8038227547315,158.2285650407627,-656.0323877954943,-428.11095017210107,uncomfortable
52.0,-15.794228634059948,-2.8366578476193514,-2.474306485820455,235.76441835156834,623.4028934511449,164.94469308307424,-688.3475865342191,-452.5831681826512,uncomfortable
52.5,-16.31491579260158,-2.962126332273145,-2.583778222863136,242.0082044068855,642.5823884474228,169.97566871419687,-712.5580571616197,-470.5498527547335,uncomfortable
53.0,-16.693332436601615,-3.084741117700601,-2.695898214121116,246.54596287883453,655.0008591951505,173.23192405308237,-728.2327832482329,-481.68682036940027,uncomfortable
